Fatalities,Ground
1,0
5,0
1,0
14,0
30,0
21,0
19,0
20,0
22,0
19,0
27,0
20,0
20,0
23,0
21,0
24,0
18,0
18,0
23,0
22,0
19,0
1,0
1,0
1,0
1,0
1,0
,
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
1,0
2,0
2,0
1,0
1,0
4,0
1,0
1,0
3,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
46,1
5,0
3,0
5,5
34,0
7,0
17,0
3,0
1,0
3,0
3,0
1,0
4,0
2,0
1,0
3,0
1,0
1,0
1,0
6,0
2,0
1,0
6,0
2,0
1,0
52,0
1,0
1,0
3,0
3,0
1,0
1,0
1,0
8,0
5,0
4,0
2,0
4,0
2,0
1,0
1,0
14,0
3,0
2,0
1,0
1,0
1,0
7,0
2,0
4,0
4,0
2,0
4,0
0,0
3,0
1,0
2,0
1,0
3,0
1,0
1,0
2,0
1,0
5,0
1,0
1,0
7,0
2,0
6,0
2,0
4,0
1,0
6,0
1,0
2,0
1,0
4,0
3,0
2,0
2,0
1,0
1,0
1,0
10,0
2,0
1,0
9,0
1,0
2,0
3,0
5,0
1,0
6,0
4,0
1,0
7,0
3,0
1,0
7,0
3,0
3,0
1,0
1,0
1,0
3,0
1,0
3,0
5,0
14,0
6,0
3,0
1,0
4,0
2,0
1,0
1,0
2,0
1,0
2,0
14,0
4,0
6,0
2,0
4,0
2,0
1,0
7,0
1,0
5,0
1,0
4,0
1,0
1,0
4,0
1,0
8,0
3,0
5,0
1,0
1,0
7,0
1,0
2,0
4,0
7,0
3,0
1,0
1,0
3,0
2,0
5,0
1,0
3,0
16,0
2,0
5,0
1,0
2,0
4,0
3,0
1,0
5,0
5,0
10,0
2,0
3,0
48,0
8,0
4,0
3,0
3,0
1,0
1,0
3,
4,0
2,0
1,0
1,0
2,0
1,0
8,0
8,0
2,0
2,0
1,0
1,0
4,0
2,0
4,0
2,0
2,0
1,0
7,0
6,0
1,0
4,0
3,0
3,0
5,0
3,0
1,0
3,0
1,0
2,0
5,0
2,0
4,0
1,0
8,0
5,0
1,0
1,0
3,0
2,0
7,0
1,0
3,0
1,0
1,0
2,0
3,0
9,0
1,0
2,0
3,0
1,0
3,0
1,0
2,0
2,0
5,0
2,0
2,0
1,0
2,0
1,0
2,0
1,0
1,0
1,0
2,0
3,11
15,0
1,0
73,0
6,0
4,0
6,0
1,0
5,0
8,0
10,0
2,0
4,
1,0
8,
14,0
2,0
7,0
4,0
10,0
14,0
2,0
8,0
1,0
4,0
5,0
3,0
3,0
6,0
2,0
7,0
5,0
1,0
1,0
3,0
12,0
2,0
,
5,0
3,0
11,0
2,0
4,0
4,0
2,0
3,0
1,0
4,0
7,0
1,0
1,0
11,0
3,0
3,0
5,0
1,0
7,0
1,0
5,0
3,0
50,2
1,0
2,0
6,0
17,0
6,0
2,0
13,0
,
4,0
3,0
2,0
3,0
5,0
12,0
6,0
1,0
4,0
4,0
14,0
1,0
3,0
1,0
11,0
3,0
12,0
17,0
13,0
6,0
1,0
4,0
0,0
14,0
2,0
13,0
3,0
7,0
3,0
2,0
2,0
2,0
1,0
1,0
7,0
7,0
3,0
1,0
8,0
2,0
2,0
2,0
2,0
3,0
4,0
1,0
1,0
11,0
9,0
4,0
2,0
6,0
5,0
15,0
7,0
2,0
14,0
6,0
,
12,0
5,0
12,0
11,0
5,0
4,0
5,0
13,0
2,0
35,1
4,0
2,0
15,0
9,0
14,0
3,0
4,0
3,0
1,0
8,0
2,0
4,0
19,0
10,0
11,0
3,0
2,0
2,0
3,0
6,0
10,0
7,0
1,0
11,0
13,0
8,0
2,0
3,0
9,0
7,0
1,0
19,0
1,0
2,0
9,0
2,0
10,0
3,0
1,0
3,0
4,0
10,0
20,0
14,0
1,52
4,0
15,0
6,0
12,0
16,0
9,0
7,0
13,0
14,0
5,0
4,0
13,0
20,0
18,0
2,0
14,1
6,0
2,0
11,0
4,0
7,0
10,0
4,0
13,0
5,0
4,0
9,0
4,0
3,0
10,0
3,0
8,0
10,0
2,0
6,0
8,0
9,0
2,0
9,0
1,22
3,0
6,0
7,0
14,0
5,0
2,0
7,0
1,0
2,
10,0
5,0
7,0
8,0
8,0
3,0
5,0
9,0
1,0
,
10,0
14,0
25,0
9,0
2,0
10,0
29,0
18,0
6,0
10,0
10,0
12,0
5,0
2,0
12,0
9,0
3,0
10,0
15,0
18,0
22,0
22,0
8,0
13,0
10,0
2,0
13,0
14,0
20,0
3,0
22,0
11,0
,
,
13,0
,
9,0
9,0
20,0
19,0
8,0
7,0
13,0
12,0
17,0
3,0
21,0
10,0
13,0
4,0
4,0
13,0
13,0
13,0
25,0
,
22,0
11,0
17,0
12,0
10,0
17,0
2,0
13,0
35,0
26,0
19,0
14,0
19,0
10,20
25,0
3,0
3,0
24,0
13,0
17,0
20,0
40,0
17,0
16,0
12,0
12,0
20,0
10,63
27,0
3,0
18,0
22,0
25,0
20,0
15,0
24,0
13,0
20,0
1,37
2,0
3,0
15,0
3,0
31,0
25,0
5,0
24,0
2,0
16,0
21,
6,0
5,0
9,0
16,0
12,0
14,0
22,0
22,0
22,0
6,0
2,0
10,0
26,0
22,0
22,0
28,0
17,0
2,0
3,58
20,5
16,0
5,0
20,0
19,0
17,0
9,0
12,0
3,0
7,0
1,0
15,0
1,0
24,0
24,0
,
25,0
16,0
15,0
10,0
3,0
9,0
5,0
3,0
4,0
23,0
24,0
4,0
3,0
11,0
10,0
23,0
23,0
24,0
11,0
13,0
17,0
24,0
3,0
20,0
13,0
18,0
25,0
21,0
31,0
6,0
21,0
30,1
31,0
20,0
21,0
3,0
2,0
27,0
2,36
15,0
28,0
3,0
3,11
12,0
4,0
16,0
22,0
11,0
23,0
29,0
20,0
2,0
23,0
26,0
31,0
59,0
25,0
31,0
14,0
5,0
45,0
26,0
44,0
22,0
24,0
20,0
29,0
44,0
28,0
27,0
28,0
14,0
17,0
15,0
8,0
1,0
3,0
18,0
23,0
17,0
7,0
11,0
21,0
20,0
1,0
27,0
10,0
25,0
20,0
,
26,0
10,0
4,16
14,0
19,0
12,0
28,0
27,0
13,0
30,0
18,0
23,0
18,0
2,0
25,0
5,0
13,0
30,0
13,0
20,0
22,0
3,0
4,0
1,0
8,0
2,0
6,0
22,0
20,1
21,0
24,0
4,0
21,0
1,0
17,0
27,0
25,0
31,0
19,0
25,0
39,0
21,0
1,22
2,0
16,0
13,0
11,0
1,0
23,0
2,0
11,0
15,0
26,0
23,0
22,0
5,0
24,0
32,0
24,0
12,0
7,0
21,0
12,0
87,4
2,0
2,0
13,0
11,0
3,0
38,0
7,0
8,0
18,0
21,0
19,0
12,0
4,0
22,0
25,0
15,0
1,0
12,0
2,0
16,0
53,0
21,0
12,0
9,0
13,0
23,0
8,0
11,0
27,0
6,0
10,0
22,0
15,0
4,0
25,0
40,0
43,0
53,0
2,0
5,0
50,0
14,0
13,0
14,0
1,0
6,0
2,2
26,0
11,0
20,0
3,0
1,0
3,0
3,0
10,0
35,0
0,0
3,0
41,0
53,0
18,0
44,0
25,0
5,0
0,0
2,0
20,0
5,0
13,0
13,0
22,0
2,0
20,0
8,1
23,0
20,0
25,0
23,0
5,3
16,0
1,0
18,0
9,0
31,0
5,0
3,0
12,0
32,0
31,0
1,0
12,0
7,0
14,0
12,0
2,0
23,0
4,0
20,0
5,0
12,0
30,0
6,0
14,0
19,0
15,0
30,0
32,0
31,0
10,0
13,0
2,0
3,0
4,1
6,0
43,0
1,0
8,0
32,0
16,0
5,0
25,0
26,0
18,0
19,0
52,0
4,0
2,0
3,0
25,0
37,0
13,0
13,0
19,0
40,0
13,0
2,0
13,0
17,0
3,0
8,0
21,0
9,0
7,0
2,0
30,0
23,0
33,0
27,0
32,0
12,0
14,0
3,0
2,0
12,0
30,0
13,0
20,0
20,0
5,0
2,0
6,0
1,0
3,0
27,0
16,0
14,0
23,0
16,0
16,0
3,0
15,0
31,0
13,0
22,0
27,0
53,0
33,0
18,0
45,0
35,0
2,4
16,0
5,0
5,0
34,0
8,0
24,0
21,0
5,0
23,0
24,0
5,0
4,0
48,0
55,0
3,0
34,0
5,0
28,0
20,0
9,0
38,0
17,0
26,0
6,0
17,0
8,0
7,0
16,0
32,0
14,0
4,0
44,0
7,0
5,0
13,2
4,0
80,0
15,0
12,0
3,0
25,0
35,0
15,0
16,0
39,0
1,0
13,0
28,0
15,0
46,0
40,0
58,0
29,0
23,0
22,0
22,0
9,0
25,0
50,0
26,0
12,7
12,0
55,0
16,0
8,0
26,0
10,0
10,0
23,0
4,0
6,0
28,0
28,0
48,0
21,0
52,0
2,0
21,0
9,0
3,0
8,0
5,0
46,0
21,0
9,3
31,0
38,0
2,0
17,0
12,0
10,0
7,0
10,0
14,0
16,0
20,0
14,0
29,0
2,0
16,0
24,0
27,0
53,0
10,0
3,0
11,2
26,0
22,0
21,0
16,0
43,0
11,0
23,0
2,0
6,0
10,0
2,0
3,0
40,0
14,0
50,0
3,0
33,0
36,0
10,0
7,0
3,0
37,0
3,0
7,0
2,0
5,0
10,0
50,0
13,3
3,0
39,0
22,0
27,0
8,0
17,0
12,0
23,0
12,0
25,0
1,0
5,0
16,0
6,0
13,0
3,0
3,0
56,1
22,0
26,0
4,0
28,0
3,0
6,0
23,0
36,0
23,7
15,0
17,
29,4
7,0
31,0
9,0
3,0
8,0
38,0
3,0
15,
4,0
44,0
17,0
70,0
12,0
10,0
2,3
37,0
4,0
52,0
29,0
2,0
50,0
9,0
11,0
17,0
5,0
6,0
1,0
8,0
11,0
11,0
1,0
24,0
7,0
18,0
2,0
1,52
46,0
11,8
3,0
14,0
14,0
25,0
16,0
5,0
19,0
44,0
20,0
9,0
52,0
37,0
18,0
37,0
87,0
3,0
3,0
27,0
2,0
27,0
10,0
40,0
26,0
19,0
39,0
18,0
5,0
30,0
46,0
11,0
2,0
16,0
8,0
23,0
35,0
14,0
13,0
13,0
4,0
3,0
7,0
30,0
8,0
43,0
10,0
18,0
2,0
19,0
0,2
7,0
11,0
34,0
17,0
129,0
58,0
44,0
21,0
1,0
4,0
1,0
14,0
2,0
42,0
21,0
3,0
1,0
28,0
5,0
25,0
44,0
2,0
21,0
2,0
19,0
28,0
10,0
23,0
13,0
1,0
9,0
21,0
4,0
16,0
35,0
21,0
1,6
16,0
15,0
3,0
35,0
10,0
10,0
3,0
9,0
20,0
33,0
2,0
18,0
18,0
25,0
4,0
21,0
36,1
16,0
16,0
25,0
5,0
3,0
19,0
1,0
3,0
4,0
3,0
20,0
10,0
2,0
30,0
3,0
47,0
12,0
21,0
3,0
26,0
28,0
6,0
3,0
21,0
42,0
42,0
3,0
24,0
2,0
28,0
4,0
2,0
26,0
10,0
28,0
45,0
17,0
18,0
15,0
0,0
5,0
10,0
13,0
29,0
16,0
1,0
5,0
26,0
8,0
13,0
66,0
4,0
2,0
3,0
19,0
12,0
20,0
4,0
2,0
3,0
16,0
18,0
22,0
22,0
58,0
30,0
25,0
66,0
13,0
2,0
9,0
3,0
16,0
2,0
15,0
3,0
19,0
66,0
7,0
44,0
28,0
14,0
10,0
10,0
6,0
2,0
26,0
17,0
1,0
4,0
22,0
3,0
2,0
2,0
40,0
50,0
52,0
19,0
3,0
2,0
1,0
3,0
18,0
22,0
5,0
6,0
3,0
2,0
14,1
2,13
30,0
74,0
32,0
128,0
1,0
46,0
18,0
12,0
15,0
1,0
0,0
5,0
59,0
0,0
3,0
23,0
5,0
2,0
25,0
2,0
36,0
23,0
34,8
25,0
14,0
62,0
5,0
3,0
21,0
11,0
1,0
17,1
16,0
2,0
5,3
21,0
22,0
5,0
18,2
15,0
20,2
24,0
19,0
67,0
40,0
34,0
26,0
3,1
24,0
1,0
34,0
1,0
37,0
16,0
2,0
2,3
9,0
9,0
3,0
14,0
24,0
58,0
1,0
79,0
23,0
8,0
12,0
8,0
12,0
1,0
3,0
27,0
7,0
21,0
3,0
15,0
44,0
4,0
43,0
4,0
61,0
3,0
2,0
4,0
19,0
9,0
3,0
11,0
5,0
21,2
47,1
23,0
15,0
22,0
35,0
26,0
8,0
4,0
20,0
9,0
18,0
3,0
47,0
32,0
16,0
49,0
61,0
11,0
4,0
15,0
4,0
1,0
45,0
1,0
19,0
7,0
15,0
3,0
36,0
33,0
10,0
99,0
24,0
64,0
17,0
3,4
19,0
13,0
13,0
8,0
15,0
5,0
19,0
23,0
20,0
80,0
11,0
31,0
17,0
8,0
3,0
36,0
2,0
21,0
9,0
3,0
21,0
5,1
5,0
10,0
36,0
2,0
51,0
4,0
10,0
2,0
3,0
4,0
65,0
14,0
5,0
24,0
15,0
5,0
1,0
9,0
24,0
2,0
26,0
12,0
28,0
5,0
2,0
31,0
12,0
10,0
8,0
60,0
14,0
68,0
0,17
6,0
2,0
5,0
32,0
2,0
2,0
1,0
3,0
20,0
53,0
16,0
34,0
1,1
18,0
26,0
5,0
42,0
40,0
3,8
25,0
45,0
29,0
3,0
2,0
33,10
1,0
11,0
9,0
34,0
10,0
50,0
42,0
61,0
37,0
9,0
59,0
61,0
34,0
32,0
6,0
3,0
63,0
25,0
2,0
10,0
18,0
9,0
37,0
4,0
35,0
13,0
12,0
31,0
10,0
4,0
29,0
14,0
54,0
18,0
16,0
18,0
1,0
1,0
37,0
13,0
1,0
6,0
35,0
20,0
3,0
63,0
80,0
29,0
31,0
8,0
21,0
62,0
11,0
2,0
3,0
12,0
22,0
4,0
37,0
33,0
15,0
31,0
24,0
78,0
22,0
128,6
20,31
28,0
10,0
25,0
4,0
6,3
21,0
23,0
6,0
26,0
72,1
12,0
23,0
52,0
13,0
61,0
20,0
1,0
24,0
1,0
17,1
72,0
67,0
6,0
27,3
39,0
6,0
1,0
78,0
5,0
2,0
14,0
83,0
77,0
16,0
37,0
28,0
34,0
17,0
2,0
45,0
77,0
3,0
52,0
21,0
15,0
3,0
13,8
2,0
27,0
1,0
6,0
13,0
18,0
23,0
2,0
95,0
111,0
2,0
11,0
5,0
15,0
1,0
107,0
11,0
22,0
31,0
40,0
18,0
12,0
32,0
23,0
15,0
3,0
13,0
26,0
45,0
130,0
5,0
112,0
81,0
84,0
14,0
94,0
6,0
1,0
9,0
26,0
27,0
81,0
4,0
10,0
15,0
20,0
9,0
86,0
12,1
13,0
11,0
44,0
4,0
8,0
28,0
2,0
3,0
8,0
1,0
10,0
27,0
4,0
18,0
23,0
21,0
26,0
97,0
25,0
24,0
50,0
5,3
33,0
12,
1,0
1,0
25,0
2,0
5,0
13,7
3,0
1,0
8,0
14,0
17,87
3,0
7,0
43,0
0,1
27,0
4,0
4,0
41,0
18,0
10,0
31,0
11,0
12,0
55,0
37,0
34,0
101,0
29,0
20,0
31,0
19,0
38,0
38,0
15,0
7,0
23,0
35,0
6,0
6,0
63,0
13,0
20,1
1,0
19,0
0,0
16,0
80,0
40,0
18,0
10,0
6,0
6,0
31,0
5,0
7,0
22,0
118,0
3,0
81,0
3,0
6,0
0,0
28,0
2,0
3,0
10,0
2,0
4,0
4,0
13,0
31,0
22,0
2,0
58,0
20,0
83,0
85,0
28,0
1,0
3,0
5,0
3,0
45,0
9,0
15,0
49,0
2,0
44,0
10,0
46,0
79,0
11,0
3,0
3,0
2,0
2,0
57,0
1,0
5,0
1,0
50,0
39,0
3,0
0,0
2,0
3,0
2,0
4,0
87,0
39,0
28,0
2,0
80,0
1,0
32,0
2,0
33,0
5,0
29,0
10,0
3,0
6,0
4,0
17,0
38,0
1,0
1,0
3,0
5,0
4,0
3,0
2,0
17,22
10,0
10,0
4,0
87,0
84,0
2,0
2,0
2,0
7,0
10,0
25,0
8,0
28,0
16,0
22,0
50,0
2,0
54,0
26,0
2,0
5,0
30,0
119,0
18,0
85,0
0,0
0,0
4,0
41,0
30,0
52,0
16,0
8,0
11,0
37,0
7,0
13,0
30,0
4,0
59,0
4,0
11,0
17,0
9,0
38,0
30,0
10,0
19,0
8,0
13,0
1,0
36,0
30,0
68,0
30,0
58,0
32,0
43,0
2,0
8,0
13,0
4,0
8,0
32,0
85,0
2,0
2,0
3,0
34,0
56,0
30,0
117,0
46,0
3,0
46,0
133,0
37,0
2,0
2,0
4,0
64,0
3,0
124,0
6,0
6,0
5,0
30,0
2,0
2,0
11,0
2,0
83,0
49,0
20,0
2,0
11,1
3,0
2,0
2,0
4,0
24,0
2,0
4,0
3,0
42,0
24,0
6,0
4,0
6,0
0,33
1,0
9,0
98,0
4,0
1,0
24,0
2,0
18,0
14,0
11,0
38,0
6,0
2,0
3,0
19,0
50,0
3,0
3,0
30,0
82,0
25,0
9,0
21,0
17,0
4,107
29,0
9,0
3,0
10,0
3,0
2,0
1,0
21,0
2,0
30,0
10,0
4,0
2,0
22,0
4,0
12,0
51,5
38,0
4,7
26,0
25,0
4,0
4,0
25,0
2,0
2,0
6,13
2,0
5,0
9,0
15,44
35,0
23,0
126,0
14,0
17,0
19,0
12,0
3,0
4,0
16,0
4,0
3,0
88,0
72,0
10,0
17,0
2,0
3,2
20,0
11,0
35,0
3,0
7,0
34,0
22,0
16,0
24,0
21,0
42,0
82,0
16,0
18,0
7,0
11,0
11,0
37,0
3,0
23,0
2,0
66,0
4,0
16,0
2,0
37,0
1,0
1,0
130,0
70,0
5,0
3,0
26,0
10,0
72,0
7,0
2,0
2,0
13,0
2,0
4,0
44,0
6,0
3,0
2,0
42,0
19,0
4,0
12,0
13,0
15,0
12,0
1,1
98,0
21,1
3,0
37,0
82,0
63,0
49,0
14,0
19,0
2,0
3,0
61,0
2,0
2,0
12,0
5,0
36,0
4,0
18,0
11,0
26,0
123,0
5,0
5,0
22,0
85,0
11,0
155,0
4,0
23,0
29,1
3,0
6,0
6,0
120,0
29,0
1,0
6,0
4,0
11,0
7,0
3,0
5,0
10,0
3,0
13,0
3,0
48,0
35,0
3,0
21,0
40,0
4,0
0,0
5,0
47,0
2,0
95,0
11,0
57,1
3,0
13,11
25,0
4,0
10,0
2,0
11,0
10,0
19,0
23,0
32,0
7,0
0,0
9,0
26,0
2,0
39,0
3,0
3,0
51,0
20,0
2,0
3,0
12,0
27,1
12,0
1,0
26,0
26,0
24,0
2,0
50,2
11,0
24,0
15,0
12,0
38,0
13,0
10,0
13,0
35,0
36,0
19,0
84,70
3,0
100,0
16,0
2,0
53,0
24,0
1,0
31,0
45,0
9,0
44,0
1,0
18,0
11,0
11,0
30,0
2,0
6,0
1,0
79,0
3,0
19,0
2,0
14,0
14,0
35,0
2,0
3,0
4,0
1,0
5,0
33,0
3,0
4,0
3,0
13,0
1,0
16,0
62,0
8,0
3,0
35,0
4,4
28,0
83,0
45,0
20,0
4,0
74,2
27,0
74,0
5,0
26,0
5,0
2,0
2,0
9,0
14,0
87,0
90,0
3,0
0,14
10,24
15,0
2,0
5,0
23,0
32,0
28,0
2,0
19,0
1,0
34,0
9,0
11,0
37,0
21,0
92,0
5,0
12,2
102,0
4,0
17,0
47,0
11,0
38,0
23,0
3,0
6,0
61,0
45,0
3,0
10,0
36,0
19,0
8,0
23,0
13,0
5,0
1,0
6,0
11,0
6,0
6,0
1,5
13,0
1,0
5,0
5,0
112,0
109,0
23,0
7,0
4,0
37,0
10,0
30,0
99,2
14,0
30,0
39,0
3,0
37,0
22,0
11,0
1,0
4,0
8,0
38,0
8,0
30,0
43,0
2,0
3,0
3,0
2,0
2,0
75,0
18,0
47,0
79,0
42,0
4,0
5,0
18,0
25,0
2,0
7,0
31,0
93,0
16,0
2,0
45,0
21,0
35,0
13,0
8,0
2,0
18,0
7,0
3,0
12,0
15,0
5,0
64,0
39,0
2,0
8,0
4,0
12,0
5,0
2,0
78,0
11,0
6,0
32,0
10,0
50,0
28,0
24,0
6,0
17,0
68,0
3,0
6,0
4,0
97,0
163,0
0,0
37,0
100,0
2,0
37,0
3,0
21,0
111,0
22,0
5,0
5,0
49,0
32,0
63,0
20,0
10,0
6,0
20,0
16,0
31,0
4,0
52,0
69,0
47,0
25,0
34,0
57,0
2,0
47,0
28,0
91,0
23,0
104,0
3,0
1,0
20,0
39,0
27,0
6,0
1,0
2,0
19,0
23,0
2,0
5,0
4,0
8,0
16,1
5,0
112,0
22,0
14,0
2,0
25,0
18,0
3,0
43,0
6,0
4,0
6,0
18,0
115,0
7,0
34,0
9,0
22,0
8,0
11,0
9,0
4,0
2,0
2,0
14,0
32,0
3,0
47,0
82,4
81,0
5,0
12,0
122,0
118,0
5,0
3,0
13,0
7,0
2,0
3,0
10,0
52,0
19,0
1,0
38,0
30,0
18,0
156,0
26,0
34,0
25,0
101,0
4,0
1,0
11,0
31,0
0,22
10,0
1,0
9,0
109,0
2,0
174,0
29,0
4,0
37,0
1,0
60,0
27,0
22,0
35,0
11,0
62,0
2,0
155,0
6,0
12,0
3,0
26,0
4,0
43,2
2,1
10,0
14,0
13,0
40,0
103,0
5,0
5,0
4,0
44,0
176,0
